Topic,Count,assigned_group,best_score,confidence,Name,Representation,Representative_Docs
1850,25,2.1 Cảm quan hương vị,45.0,cao,1850_hương_vị thơm_nhiên hương_nhiên hương_vị_hương_vị thơm_ngon,"['hương_vị thơm', 'nhiên hương', 'nhiên hương_vị', 'hương_vị thơm_ngon', 'hương_vị ngon', 'chất_lượng_tốt hương_vị', 'vị thơm', 'nhiên mùi', 'mùi vị', 'thơm_ngon hương_vị']","['hương_vị thơm tự nhiên', 'hương_vị thơm tự nhiên', 'hương_vị thơm tự nhiên']"
1855,25,2.1 Cảm quan hương vị,41.0,cao,1855_hương_vị ngọt_nhiên hương_vị_hương_vị chua_hương_vị vị,"['hương_vị ngọt', 'nhiên hương_vị', 'hương_vị chua', 'hương_vị vị', 'chua ngọt', 'ngọt nhẹ', 'ngọt thanh', 'ngọt tự', 'thanh vị', 'nhẹ tự']","['hương_vị ngọt tự nhiên', 'hương_vị ngọt tự nhiên', 'hương_vị ngọt tự nhiên']"
1862,25,2.1 Cảm quan hương vị,24.0,cao,1862_nấu thơm_nấu canh_dẻo nấu_nấu dẻo,"['nấu thơm', 'nấu canh', 'dẻo nấu', 'nấu dẻo', 'ngon nấu', 'thơm_ngon nấu', 'mạch nấu', 'thơm nấu', 'lượng nấu', 'nấu cháo']","['nấu dẻo thơm', 'nấu dẻo thơm', 'nấu dẻo thơm']"
1869,25,2.1 Cảm quan hương vị,42.0,cao,1869_táo đỏ_vị táo_mùi táo_cương táo,"['táo đỏ', 'vị táo', 'mùi táo', 'cương táo', 'đỏ hương_vị', 'đỏ thơm_ngon', 'ngọt hương_vị', 'ngọt_dịu hương_vị', 'hương_vị ngọt', 'ngọt nhẹ']","['hương_vị táo đỏ tân cương', 'hương_vị hương vị táo đỏ thơm_ngon ngọt tự nhiên', 'hương_vị táo đỏ tân cương vị tự nhiên']"
1870,25,2.1 Cảm quan hương vị,24.0,cao,1870_mùi vị_biết mùi_rõ mùi_chưa rõ,"['mùi vị', 'biết mùi', 'rõ mùi', 'chưa rõ', 'vị nào', 'nào chưa', 'nào rõ', '', '', '']","['chưa biết mùi vị thế nào', 'chưa biết mùi vị thế nào', 'chưa biết mùi vị như thế nào']"
1871,25,2.1 Cảm quan hương vị,15.0,cao,1871_hạt chất_lượng_tốt_cao chất_chung chất_lượng_tốt_bánh ngon,"['hạt chất_lượng_tốt', 'cao chất', 'chung chất_lượng_tốt', 'bánh ngon', 'lượng tôt', 'ngon giảm', 'thơm dễ', 'ngon đáng', 'tốt ưng', 'lượng bánh']","['sản phẩm chất lượng hihii', 'sản phẩm chất lượng hihii', 'sản phẩm chất lượng kwjbebrkoxonwbqkpsnxbebekwpqo2bbxjxkowkw']"
1874,25,2.1 Cảm quan hương vị,26.0,cao,1874_hương_vị ăn_ăn hương_vị_ăn hương_hương_vị quen,"['hương_vị ăn', 'ăn hương_vị', 'ăn hương', 'hương_vị quen', 'ổn hương_vị', 'hương_vị thơm_ngon', 'ngon ăn', 'ăn đánh', 'thơm_ngon thích', 'miệng ăn']","['hương_vị ăn được', 'hương_vị ăn được', 'hương_vị ăn được']"
1876,25,2.1 Cảm quan hương vị,6.0,trung bình,1876_mời khách_kính mời_gửi khách_khách liên,"['mời khách', 'kính mời', 'gửi khách', 'khách liên', 'khách vào', 'từ khách', 'mời các', 'tham dự', 'khách yêu', 'khách hết']","['khách quý cùng nhân dân tham dự lễ ra mắt đơn vị hành chính thị xã chũ huyện lục ngạn', 'trân trọng kính mời các cô chú hệ thống funfit việt nam tới tham dự khai trương gửi khách gần khu vực phòng tập ak', 'trân trọng kính mời các cô chú hệ thống funfit việt nam tới tham dự khai trương gửi khách gần khu vực phòng tập ak']"
1885,25,2.1 Cảm quan hương vị,22.0,cao,1885_vị hương_vị_co hương_vị_hương_vị co_hương_vị vô,"['vị hương_vị', 'co hương_vị', 'hương_vị co', 'hương_vị vô', 'hương_vị ngon', 'vô', 'khủng', 'co', 'khiếp', '']","['hương_vị không co', 'hương_vị không co', 'hương_vị không co']"
1889,25,2.1 Cảm quan hương vị,15.0,cao,1889_táo ngọt_thích táo_táo dùng_táo phải,"['táo ngọt', 'thích táo', 'táo dùng', 'táo phải', 'quả táo', 'đỏ táo', 'tốt táo', 'táo trái', 'bột trái', 'uống táo']","['táo ngon dễ ăn uống nước rắt thơm ngọt nhẹ sạch không bị mốc', 'phụ nữ hay bị lạnh máu huyết không lưu thông mua kỷ tử dâu tằm táo đỏ về nấu nước uống tốt', 'mua để nấu nước uống hồi máu nó ổn xay táo trung bình không to bé ăn phải loại tăng cường']"
1893,25,2.1 Cảm quan hương vị,12.0,cao,1893_trà dễ_uống_trà thơm_dễ_uống trà_thơm trà,"['trà dễ_uống', 'trà thơm', 'dễ_uống trà', 'thơm trà', 'chịu trà', 'dễ_uống thơm', 'thơm dễ_uống', 'thơm thoang', 'dễ chịu', 'chịu']","['trà dễ_uống thơm', 'trà dễ_uống thơm', 'trà dễ_uống thơm']"
1900,24,2.1 Cảm quan hương vị,12.0,cao,1900_gạo thơm_gạo chuẩn_gạo dẻo_thơm gạo,"['gạo thơm', 'gạo chuẩn', 'gạo dẻo', 'thơm gạo', 'dẻo gạo', 'thơm dẻo', 'dẻo thơm', '', '', '']","['gạo thơm dẻo', 'gạo thơm dẻo', 'gạo thơm dẻo']"
1903,24,2.1 Cảm quan hương vị,12.0,cao,1903_ngon ăn_xào ăn_ăn vài_ăn vào,"['ngon ăn', 'xào ăn', 'ăn vài', 'ăn vào', 'nhận ăn', 'ngon thử', 'thử ngon', 'vào ngon', 'ngon nhận', 'thử đánh']","['ăn thử ngon', 'ăn thử ngon', 'ăn thử ngon']"
1905,24,2.1 Cảm quan hương vị,16.0,cao,1905_ăn quen_khó ăn_do ăn_ăn mặn,"['ăn quen', 'khó ăn', 'do ăn', 'ăn mặn', 'ăn ăn', 'ăn đồ', 'quen ăn', 'nhạt ăn', 'mặn ăn', 'ăn những']","['vì ăn không quen', 'ăn không quen', 'ăn không quen']"
1908,24,2.1 Cảm quan hương vị,30.0,cao,1908_hương_vị chua_uong hương_vị_chua dung_chua an,"['hương_vị chua', 'uong hương_vị', 'chua dung', 'chua an', 'chua uong', 'chuaa', 'uong', 'chua mo', 'thu', 'an thu']","['hương_vị chua thu', 'hương_vị chua thu', 'hương_vị chua thu']"
1917,24,2.1 Cảm quan hương vị,23.0,cao,1917_ăn tốt_vọng ăn_ăn thơm_ngon_ăn ổn,"['ăn tốt', 'vọng ăn', 'ăn thơm_ngon', 'ăn ổn', 'ăn cảm', 'ăn lâu', 'hi vọng', 'hy vọng', 'ngon hy', 'cảm ổn']","['hi vọng ăn ngon', 'hi vọng ăn ngon', 'hi vọng ăn ngon']"
1926,24,2.1 Cảm quan hương vị,23.0,cao,1926_mịn ngon_lượng ngon_ngon tốt_thơm_ngon ngon,"['mịn ngon', 'lượng ngon', 'ngon tốt', 'thơm_ngon ngon', 'ngon chất', 'ngon hàng', 'thích ngon', 'ngon thích', 'mịn', 'muốn ngon']","['ngon chất lượng', 'ngon chất lượng', 'ngon chất lượng']"
1943,24,2.1 Cảm quan hương vị,20.0,cao,1943_hương_vị biết_biết hương_vị_biết hương_vị biết,"['hương_vị biết', 'biết hương_vị', 'biết hương', 'vị biết', '', '', '', '', '', '']","['hương_vị không biết', 'hương_vị không biết', 'hương_vị không biết']"
1945,24,2.1 Cảm quan hương vị,10.0,cao,1945_mix gạo_trộn gạo_thêm gạo_ít gạo,"['mix gạo', 'trộn gạo', 'thêm gạo', 'ít gạo', 'gạo trắng', 'thử gạo', 'cơm dẻo', 'cơm trắng', 'nấu gạo', 'cùng gạo']","['ngọt nấu không hoặc trộn chung gạo trắng đều ngon', 'ăn mix cùng gạo trắng ngon', 'ăn mix cùng gạo trắng ngon']"
1946,24,2.1 Cảm quan hương vị,24.0,cao,1946_ăn thơm_vị ăn_thơm ăn_ăn vị,"['ăn thơm', 'vị ăn', 'thơm ăn', 'ăn vị', 'ăn da', 'xíu ăn', 'snack vị', 'ăn giòn', 'giòn ăn', 'bùi thơm']","['vị ăn thơm', 'vị ăn thơm', 'vị ăn thơm']"
1947,24,2.1 Cảm quan hương vị,24.0,cao,1947_hạt thơm_giòn thơm_thơm hạt_bùi thơm,"['hạt thơm', 'giòn thơm', 'thơm hạt', 'bùi thơm', 'cháo thơm', 'thơm hương_vị', 'đều thơm', 'thơm giòn', 'to thơm', 'nhiều thơm']","['hạt đều thơm', 'hạt đều thơm', 'giòn thơm hạt']"
1948,24,2.1 Cảm quan hương vị,38.0,cao,1948_hương_vị thơm_hương_vị thơm_nhẹ_thơm hương_vị_cẩm hương_vị,"['hương_vị thơm', 'hương_vị thơm_nhẹ', 'thơm hương_vị', 'cẩm hương_vị', 'xốp hương_vị', 'hương_vị chua', 'hương_vị bùi', 'hương_vị ngot', 'hương_vị độ', 'thơm_nhẹ mùi']","['hương_vị thơm bùi', 'hương_vị thơm bùi', 'hương_vị thơm bùi']"
1958,23,2.1 Cảm quan hương vị,23.0,cao,1958_trà hoa_trà thơm_thơm trà_thơm_ngon trà,"['trà hoa', 'trà thơm', 'thơm trà', 'thơm_ngon trà', 'trà ngon', 'nhiều trà', 'cúc trà', 'đều trà', 'cùng trà', 'tea']","['trà hoa cúc thơm', 'trà hoa cúc thơm', 'trà hoa cúc thơm']"
1966,23,2.1 Cảm quan hương vị,30.0,cao,1966_hương_vị ngon_ngon hương_vị_hương_vị dẻo_thường hương_vị,"['hương_vị ngon', 'ngon hương_vị', 'hương_vị dẻo', 'thường hương_vị', 'dẻo hương_vị', 'sạch hương_vị', 'ngon dẻo', 'ngon sạch', 'ngon bình', 'ngon de']","['hương_vị ngon dẻo', 'hương_vị ngon dẻo', 'hương_vị ngon dẻo']"
1972,23,2.1 Cảm quan hương vị,42.0,cao,1972_mùi hoa_hương_vị thơm_hương_vị hoa_thơm mùi,"['mùi hoa', 'hương_vị thơm', 'hương_vị hoa', 'thơm mùi', 'mùi hắc', 'thơm hương_vị', 'thơm_nhẹ mùi', 'mộc mùi', 'cúc mùi', 'hương_vị hương']","['hương_vị thơm mùi hoa cúc', 'hương_vị thơm mùi hoa cúc', 'hương_vị thơm mùi hoa cúc']"
1973,23,2.1 Cảm quan hương vị,29.0,cao,1973_ổn mùi_tốt mùi_hương ổn_mùi thơm,"['ổn mùi', 'tốt mùi', 'hương ổn', 'mùi thơm', 'vọng mùi', 'mùi dễ_uống', 'mùi thơm_nhẹ', 'mùi hương', 'vị mùi', 'dễ_uống mùi']","['ổn mùi hương', 'ổn mùi hương', 'ổn mùi hương']"
1988,23,2.1 Cảm quan hương vị,15.0,cao,1988_phẩm dễ_uống_phẩm dễ_dễ_uống sản_dễ_uống chua,"['phẩm dễ_uống', 'phẩm dễ', 'dễ_uống sản', 'dễ_uống chua', 'phẩm dùng', 'dễ pha', 'vị dễ_uống', 'dùng miễn', 'miễn bàn', 'dễ_uống ổn']","['sản phẩm dễ_uống', 'sản phẩm dễ_uống', 'sản phẩm dễ_uống']"
1990,23,2.1 Cảm quan hương vị,26.0,cao,1990_yen_hương_vị mui_dh yên_đồng,"['yen', 'hương_vị mui', 'dh yên', 'đồng', 'thơm hương_vị', 'lượng hương_vị', 'hàng dh', 'ngon hương_vị', 'dh', 'de']","['hương_vị yen mach', 'hương_vị yen mach', 'hương_vị yen mach']"
2001,23,2.1 Cảm quan hương vị,17.0,cao,2001_phẩm thơm_dùng thơm_thơm dẻo_thơm sản,"['phẩm thơm', 'dùng thơm', 'thơm dẻo', 'thơm sản', 'nhẹ sản', 'chất luọng', 'dịu nhẹ', 'thơm hàng', 'thơm kì', 'thơm dịu']","['sản phẩm thơm', 'sản phẩm thơm', 'sản phẩm thơm']"
2018,23,2.1 Cảm quan hương vị,28.0,cao,2018_chia thơm_thơm hạt_thơm dẻo_hạt dẻ,"['chia thơm', 'thơm hạt', 'thơm dẻo', 'hạt dẻ', 'mềm thơm_ngon', 'giống bún', 'ngon hạt', 'mạch thơm', 'mềm ngon', 'chưng yến']","['hạt chia thơm không', 'hạt chia thơm', 'hạt chia thơm']"
2019,23,2.1 Cảm quan hương vị,12.0,cao,2019_thịt táo_táo thịt_táo dày_táo ngon,"['thịt táo', 'táo thịt', 'táo dày', 'táo ngon', 'táo nhiều', 'táo quả', 'quả táo', 'quả to', 'ngon táo', 'thịt ngon']","['thịt táo dày', 'táo dẻo chắc thịt ngon', 'táo dẻo dày thịt ngon']"
2022,23,2.1 Cảm quan hương vị,19.0,cao,2022_hạt sâu_sâu mọt_sâu_tanh mặn,"['hạt sâu', 'sâu mọt', 'sâu', 'tanh mặn', 'bình yên', 'trái sâu', 'ẩm', 'hột', 'lép sâu', 'để lại']","['không sâu mọt', 'không bị sâu mọt', 'không bị sâu mọt']"
2028,23,2.1 Cảm quan hương vị,16.0,cao,2028_bánh ngon_ngon ăn_ngon bánh_bánh giòn,"['bánh ngon', 'ngon ăn', 'ngon bánh', 'bánh giòn', 'bánh vị', 'giòn ngon', 'giòn ăn', 'bánh canh', 'canh ngon', 'nui bánh']","['bánh giòn ngon', 'bánh giòn ngon', 'bánh giòn ngon']"
2030,23,2.1 Cảm quan hương vị,23.0,cao,2030_nếu ngon_hợp ủng_vị nếu_tiếp ủng,"['nếu ngon', 'hợp ủng', 'vị nếu', 'tiếp ủng', 'ngon nếu', 'ngon ủng', 'tiếp nếu', 'nếu hợp', 'tt ủng', 'ổn nếu']","['ủng hộ tiếp nếu ngon', 'ủng hộ tiếp nếu ngon', 'ủng hộ tiếp nếu ngon']"
2031,23,2.1 Cảm quan hương vị,27.0,cao,2031_hương_vị rong_nho hương_vị_hương_vị tanh_rong hương_vị,"['hương_vị rong', 'nho hương_vị', 'hương_vị tanh', 'rong hương_vị', 'hương_vị yến', 'hương_vị mặn', 'yến mach', 'mặn vị', '', '']","['hương_vị rong nho', 'hương_vị rong nho', 'hương_vị rong nho']"
2032,23,2.1 Cảm quan hương vị,35.0,cao,2032_hạt thơm_ngon_mạch thơm_ngon_thơm_ngon hấp_thơm_ngon vị,"['hạt thơm_ngon', 'mạch thơm_ngon', 'thơm_ngon hấp', 'thơm_ngon vị', 'thơm yến', 'nhẹ thanh', 'vị nhẹ', 'ngon yến', 'ngon thơm', 'thanh ngon']","['yến mạch thơm_ngon', 'yến mạch thơm_ngon', 'yến mạch thơm_ngon']"
2035,22,2.1 Cảm quan hương vị,18.0,cao,2035_ăn mềm_mềm mềm_mềm dễ_biết mềm,"['ăn mềm', 'mềm mềm', 'mềm dễ', 'biết mềm', 'dẻo mềm', 'ăn bún', 'ăn dễ', 'nhỏ dễ', 'dễ tan', 'ăn dẻo']","['mềm dễ ăn', 'mềm dễ ăn', 'mềm dễ ăn']"
2039,22,2.1 Cảm quan hương vị,12.0,cao,2039_trông ngon_ngon trông_vẻ ngon_nhìn vẻ,"['trông ngon', 'ngon trông', 'vẻ ngon', 'nhìn vẻ', 'ngon nhìn', 'trông vẻ', 'trông xịn', 'trông', 'vẻ', 'đồ ngon']","['nhìn vẻ ngon', 'nhìn vẻ ngon', 'nhìn vẻ ngon']"
2040,22,2.1 Cảm quan hương vị,18.0,cao,2040_ổn hương_vị_hương_vị quen_hương_vị tạm_tạm ổn,"['ổn hương_vị', 'hương_vị quen', 'hương_vị tạm', 'tạm ổn', 'quen ổn', 'hang ổn', 'tamj', '', '', '']","['hương_vị tạm ổn', 'hương_vị tạm ổn', 'hương_vị tạm ổn']"
2042,22,2.1 Cảm quan hương vị,30.0,cao,2042_hương_vị giấm_hương_vị hạt_hương_vị chua_hương_vị hương,"['hương_vị giấm', 'hương_vị hạt', 'hương_vị chua', 'hương_vị hương', 'cẩm hương_vị', 'hạt hương_vị', 'hương_vị chấm', 'hương_vị thom', 'gì hương_vị', 'hương_vị nếp']","['hương_vị giấm chua', 'hương_vị chua vị giấm', 'hương_vị chua vị giấm']"
2044,22,2.1 Cảm quan hương vị,27.0,cao,2044_uống ngọt_uống thơm_uống thanh_ngọt thơm,"['uống ngọt', 'uống thơm', 'uống thanh', 'ngọt thơm', 'đồ uống', 'uống để', 'thanh ngọt', 'thanh uống', 'ngọt ngon', 'ngọt gắt']","['loại uống ngọt', 'uống ngọt thanh', 'uống ngọt thanh']"
2049,22,2.1 Cảm quan hương vị,20.0,cao,2049_hết hương_vị_hết hương_hương_vị chưa_thử hương_vị,"['hết hương_vị', 'hết hương', 'hương_vị chưa', 'thử hương_vị', 'chưa thử', 'đều hương', 'thử hương', 'vị chưa', 'trái to', 'bao giờ']","['hương vị chưa thử hết', 'hương vị chưa thử hết', 'hương vị chưa thử hết']"
2054,22,2.1 Cảm quan hương vị,12.0,cao,2054_gạo ngon_vọng gạo_gạo ổn_thích gạo,"['gạo ngon', 'vọng gạo', 'gạo ổn', 'thích gạo', 'đúng gạo', 'gạo lức', 'những gạo', 'gạo dẻo', 'hơn gạo', 'gạo sạch']","['hi vọng gạo dẻo ngon', 'hy vọng gạo ngon', 'hi vọng gạo ngon']"
2062,22,2.1 Cảm quan hương vị,27.0,cao,2062_uong hương_vị_vij hương_vị_tanh hương_vị_vi hương_vị,"['uong hương_vị', 'vij hương_vị', 'tanh hương_vị', 'vi hương_vị', 'on hương_vị', 'bic hương_vị', 'hương_vị an', 'hương_vị chua', 'khoong', 'co hương_vị']","['hương_vị khoong cos vij', 'hương_vị khoong cos vij', 'hương_vị khoong cos vij']"
2064,22,2.1 Cảm quan hương vị,11.0,cao,2064_khoẻ ngon_khoẻ dễ_uống_uống tốt_uống phải,"['khoẻ ngon', 'khoẻ dễ_uống', 'uống tốt', 'uống phải', 'khoẻ uống', 'ngon uống', 'khoẻ', 'dễ_uống tốt', 'sức khoẻ', 'kiên nhẫn']","['uống tốt sức khoẻ', 'uống tốt sức khoẻ', 'uống tốt sức khoẻ']"
2068,22,2.1 Cảm quan hương vị,18.0,cao,2068_hương_vị trà_cúc hương_vị_hương hoa_trà xanh,"['hương_vị trà', 'cúc hương_vị', 'hương hoa', 'trà xanh', 'trà hoa', 'rõ hương', 'cúc trà', 'nó hương_vị', 'hoa cúc', 'tea']","['hương_vị trà hoa cúc', 'hương_vị trà hoa cúc', 'hương_vị trà hoa cúc']"
2071,22,2.1 Cảm quan hương vị,12.0,cao,2071_bình thường_thường vị_thường hàng_ổn hàng,"['bình thường', 'thường vị', 'thường hàng', 'ổn hàng', 'vị bình', 'bình ổn', 'tốt mẹ', 'gia vị', 'ổn nói', 'vọng nhiều']","['gia vị bình thường', 'hi vọng nhiều deal tốt mẹ bỉm', 'hi vọng nhiều deal tốt mẹ bỉm']"
2074,22,2.1 Cảm quan hương vị,56.0,cao,2074_hương_vị đắng_hương_vị thơm_hương_vị chua_nhẹ hương_vị,"['hương_vị đắng', 'hương_vị thơm', 'hương_vị chua', 'nhẹ hương_vị', 'đắng hương_vị', 'hương_vị vị', 'hương_vị nhận', 'hương_vị chút', 'ngon hương_vị', 'hương_vị ngon']","['hương_vị đắng nhẹ', 'hương_vị đắng nhẹ', 'hương_vị đắng nhẹ']"
2085,22,2.1 Cảm quan hương vị,32.0,cao,2085_hương_vị chua_hương_vị những_ăn hương_vị_nồng hương_vị,"['hương_vị chua', 'hương_vị những', 'ăn hương_vị', 'nồng hương_vị', 'hương_vị thanh', 'tanh hương_vị', 'thanh hương_vị', 'giấm hương_vị', 'chua hương_vị', 'nấu hương_vị']","['hương_vị chua ăn', 'hương_vị chua ăn', 'hương_vị chua ăn']"
2094,22,2.1 Cảm quan hương vị,30.0,cao,2094_hương_vị ngon_ngon hương_vị_tuyệt hương_vị_vị hương_vị,"['hương_vị ngon', 'ngon hương_vị', 'tuyệt hương_vị', 'vị hương_vị', 'vị ngon', 'vẻ ngon', 'ngon vị', 'chịu hương_vị', 'ngon tuyệt', 'hương_vị vị']","['hương_vị ngon tuyệt', 'hương_vị ngon tuyệt', 'hương_vị ngon tuyệt']"
2100,22,2.1 Cảm quan hương vị,30.0,cao,2100_hương_vị thơm_mịn hương_vị_dẻo hương_vị_thơm dẻo,"['hương_vị thơm', 'mịn hương_vị', 'dẻo hương_vị', 'thơm dẻo', 'mịn', 'sánh mịn', 'sánh', '', '', '']","['hương_vị thơm dẻo', 'hương_vị thơm dẻo', 'hương_vị thơm dẻo']"
2104,22,2.1 Cảm quan hương vị,16.0,cao,2104_độ ngọt_giảm ngọt_ngọt gắt_thanh ngọt,"['độ ngọt', 'giảm ngọt', 'ngọt gắt', 'thanh ngọt', 'trong ngọt', 'ngọt thanh', 'ngọt giảm', 'chua ngọt', 'ngọt ngọt', 'đường ngọt']","['ổn độ ngọt', 'ổn độ ngọt', 'ổn độ ngọt']"
2113,21,2.1 Cảm quan hương vị,45.0,cao,2113_ngon hương_vị_mịn hương_vị_hương_vị bánh_vị thơm,"['ngon hương_vị', 'mịn hương_vị', 'hương_vị bánh', 'vị thơm', 'ổn hương_vị', 'vị thơm_ngon', 'hương_vị đánh', 'hương_vị nhìn', 'thơm_ngon hương_vị', 'ngon mùi']","['hương_vị bánh ngon', 'hương_vị bánh ngon', 'hương_vị bánh ngon']"
2117,21,2.1 Cảm quan hương vị,18.0,cao,2117_hương_vị bún_hương_vị nhieu_hương_vị huong_hương_vị thom,"['hương_vị bún', 'hương_vị nhieu', 'hương_vị huong', 'hương_vị thom', 'hương_vị gia', 'hương_vị vị', 'hương_vị cung', 'hương_vị an', 'nưa hương_vị', 'hương_vị giao']","['hương_vị bún nưa', 'hương_vị tam duoc', 'hương_vị tam duoc']"
2120,21,2.1 Cảm quan hương vị,18.0,cao,2120_hương_vị mix_hương_vị vị_năm vị_mix vị,"['hương_vị mix', 'hương_vị vị', 'năm vị', 'mix vị', 'hương_vị vi', 'vị hương_vị', 'ngán hương_vị', 'mix', 'vi hương_vị', 'vij hương_vị']","['hương_vị mix 5 vị', 'hương_vị mix 5 vị', 'hương_vị mix 5 vị']"
2124,21,2.1 Cảm quan hương vị,30.0,cao,2124_hương_vị ngon_ngon hương_vị_phải hương_vị_hương_vị chắc,"['hương_vị ngon', 'ngon hương_vị', 'phải hương_vị', 'hương_vị chắc', 'thom hương_vị', 'hương_vị uống', 'hương_vị tao', 'uống ngon', 'ngon mấy', 'moi hương_vị']","['hương_vị ngon thom', 'hương_vị ngon thom', 'hương_vị ngon thom']"
2129,21,2.1 Cảm quan hương vị,12.0,cao,2129_ngon nui_ngon dai_ngon ui_bún ngon,"['ngon nui', 'ngon dai', 'ngon ui', 'bún ngon', 'ngon qua', 'ngon thử', 'dai ngon', 'an ngon', 'ngon se', 'dẻo ngon']","['nui dai ngon', 'nui dai ngon', 'nui dai ngon']"
2130,21,2.1 Cảm quan hương vị,11.0,cao,2130_thiện vui_thương ngon_lành hạnh_vui vẻ,"['thiện vui', 'thương ngon', 'lành hạnh', 'vui vẻ', 'ngon bé', 'thiện giao', 'hàng vui', 'dụng vui', 'chúc quý', 'vui tính']","['giao hàng thân thiện vui vẻ', 'giao hàng thân thiện vui vẻ', 'giao hàng thân thiện vui vẻ']"
2138,21,2.1 Cảm quan hương vị,33.0,cao,2138_hương_vị ngon_ngon hương_vị_ăn hương_vị_ăn hương,"['hương_vị ngon', 'ngon hương_vị', 'ăn hương_vị', 'ăn hương', 'vị ngon', 'ngon dễ', 'hợp ăn', 'đều ngon', 'ngon dẻo', 'ăn uống']","['hương_vị ngon dễ ăn', 'hương_vị ngon dễ ăn', 'hương_vị ngon dễ ăn']"
2146,21,2.1 Cảm quan hương vị,12.0,cao,2146_nấu ngon_ngon nấu_nấu ăn_nấu nở,"['nấu ngon', 'ngon nấu', 'nấu ăn', 'nấu nở', 'nấu dùng', 'nở tốt', 'tốt ngon', 'dùng tốt', '', '']","['nấu ăn ngon', 'nấu ăn ngon', 'nấu ăn ngon']"
2152,21,2.1 Cảm quan hương vị,5.0,thấp,2152_tiết kiệm_kiệm nhiều_kiệm_kiệm hơn,"['tiết kiệm', 'kiệm nhiều', 'kiệm', 'kiệm hơn', 'tiền mua', 'nhuận đông', 'kiệm chi', 'nhuận', 'mua ngon', 'cần mua']","['mua tiết kiệm', 'mua ngon tiết kiệm hay nhiều ưu đãi', 'vì mua 3c tiết kiệm hơn']"
2157,21,2.1 Cảm quan hương vị,13.0,cao,2157_đậu đen_đen đậu_giống đậu_hạt đậu,"['đậu đen', 'đen đậu', 'giống đậu', 'hạt đậu', 'đều đậu', 'đậu hà', 'hạt đen', 'đen hạt', 'vị đậu', 'nhiều hạt']","['đậu đen nhiều hạt sâu', 'đậu đen nhiều hạt to nhỏ không đồng đều', 'đợt trước hạt đậu đen xanh lòng sâu nhiều']"
2158,21,2.1 Cảm quan hương vị,21.0,cao,2158_nhẹ chất_kem dưỡng_bột_lỏng,"['nhẹ chất', 'kem dưỡng', 'bột', 'lỏng', 'mềm mịn', 'tẩy', 'kem', 'mỏng', 'mịn', 'lau khô']","['chất kem dạng gel mỏng nhẹ', 'chất kem dạng gel mỏng nhẹ', 'gel dễ ăn đối trên 18 tuổi vị vui trai cay de an lam tiêu hóa']"
2163,21,2.1 Cảm quan hương vị,5.0,thấp,2163_đâu uống_lười uống_chưa uống_uống quen,"['đâu uống', 'lười uống', 'chưa uống', 'uống quen', 'uống tanh', 'uống trc', 'uống giống', 'uống gì', 'uống chắc', 'tặng ly']","['uống mấy bữa nay cân kha dây treo túi hoie ngắn bình không đâu', 'tưởng đâu tặng cái ly nhỏ chia ml', 'uống giống vị nhân trần không mùi diếp cá tanh khó_uống đâu']"
2172,21,2.1 Cảm quan hương vị,12.0,cao,2172_vị chưa_quen vị_chưa quen_vị nói,"['vị chưa', 'quen vị', 'chưa quen', 'vị nói', 'biết chưa', 'biết vị', 'vị sao', 'đi biết', 'vị biết', 'don know']","['chưa biết vị', 'chưa biết vị', 'chưa biết vị']"
2178,21,2.1 Cảm quan hương vị,22.0,cao,2178_ngon ăn_ngon hạt_ăn giòn_ăn bún,"['ngon ăn', 'ngon hạt', 'ăn giòn', 'ăn bún', 'nưa ăn', 'giòn ăn', 'bún ăn', 'chấm ăn', 'gừng ăn', 'giòn ngon']","['bún nưa ăn ngon', 'bún nưa ăn ngon', 'bún nưa ăn ngon']"
2189,20,2.1 Cảm quan hương vị,29.0,cao,2189_gạo nấu_cơm dẻo_ngon gạo_hàng gạo,"['gạo nấu', 'cơm dẻo', 'ngon gạo', 'hàng gạo', 'gạo mềm', 'mềm gạo', 'từ gạo', 'gạo đậu', 'cháo cơm', 'gạo phải']","['gạo nấu thành cơm mềm ngon', 'gạo nấu thành cơm mềm ngon', 'gạo nấu mềm dẻo ngon']"
2192,20,2.1 Cảm quan hương vị,34.0,cao,2192_ăn nhạt_ngon khô_ngon mềm_vị ăn,"['ăn nhạt', 'ngon khô', 'ngon mềm', 'vị ăn', 'màu ăn', 'vị ngon', 'ăn vị', 'vị nhạt', 'ăn cảm', 'gì ăn']","['vị nhạt dễ ăn', 'vị nhạt dễ ăn', 'vị nhạt dễ ăn']"
2196,20,2.1 Cảm quan hương vị,18.0,cao,2196_chưa nấu_nấu hương_vị_hương_vị chưa_hương_vị minh,"['chưa nấu', 'nấu hương_vị', 'hương_vị chưa', 'hương_vị minh', 'thử hương_vị', 'biết hương_vị', 'nấu thử', 'nấu biết', 'minh chưa', '']","['hương_vị chưa nấu', 'hương_vị chưa nấu', 'hương_vị chưa nấu']"
2199,20,2.1 Cảm quan hương vị,21.0,cao,2199_phẩm tươi_phẩm ngon_ngon sản_ngon hạt,"['phẩm tươi', 'phẩm ngon', 'ngon sản', 'ngon hạt', 'tươi dùng', 'dùng ngon', 'giòn ngon', 'ngon nguyên', 'tươi', 'phẩm dùng']","['sản phẩm dùng ngon', 'sản phẩm dùng ngon', 'sản phẩm dùng ngon']"
